id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; last_positions;
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 191; 10; 46; 15.0; (-4.823529411764706, 3.1176470588235294); [(693.0, 680.0), (688, 683), (684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 192; 9; 47; 15.0; (-4.823529411764706, 3.1176470588235294); [(693.0, 680.0), (688, 683), (684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 193; 10; 48; 15.0; (-4.764705882352941, 3.176470588235294); [(688, 683), (684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 194; 9; 49; 15.0; (-4.764705882352941, 3.176470588235294); [(688, 683), (684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 195; 10; 50; 15.0; (-4.8125, 3.1875); [(684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 196; 9; 51; 15.0; (-4.8125, 3.1875); [(684.0, 686.0), (679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 197; 10; 52; 15.0; (-4.75, 3.25); [(679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 198; 9; 53; 15.0; (-4.75, 3.25); [(679, 689), (673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0)];
5333; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 199; 10; 54; 15.0; (-4.6875, 3.25); [(673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750)];
5333; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 200; 9; 55; 15.0; (-4.6875, 3.25); [(673.0, 692.0), (669.0, 695.0), (664, 698), (659.0, 702.0), (654, 705), (649, 708), (644, 711), (639, 714), (635.0, 718.0), (629.0, 720.0), (625.0, 724.0), (620, 727), (615, 730), (610, 733), (607.0, 735.0), (602.0, 737.0), (598.0, 741.0), (592.0, 743.0), (588.0, 747.0), (583, 750)];
